Date,Day,Menu_Item,Quantity_Sold,Weather,Event,Holiday,Occupancy_Rate
01-01-2021,Friday,Chicken Biryani,51,Stormy,None,0,83
01-01-2021,Friday,Paneer Butter Masala,112,Stormy,None,0,83
01-01-2021,Friday,Veg Fried Rice,103,Stormy,None,0,83
01-01-2021,Friday,Mutton Curry,85,Stormy,None,0,83
01-01-2021,Friday,Dosa,63,Stormy,None,0,83
01-01-2021,Friday,Idli,52,Stormy,None,0,83
01-01-2021,Friday,Paratha,88,Stormy,None,0,83
01-01-2021,Friday,Fish Fry,35,Stormy,None,0,83
01-01-2021,Friday,Dal Tadka,74,Stormy,None,0,83
01-01-2021,Friday,Chole Bhature,69,Stormy,None,0,83
02-01-2021,Saturday,Chicken Biryani,40,Sunny,None,1,81
02-01-2021,Saturday,Paneer Butter Masala,117,Sunny,None,1,81
02-01-2021,Saturday,Veg Fried Rice,72,Sunny,None,1,81
02-01-2021,Saturday,Mutton Curry,55,Sunny,None,1,81
02-01-2021,Saturday,Dosa,88,Sunny,None,1,81
02-01-2021,Saturday,Idli,72,Sunny,None,1,81
02-01-2021,Saturday,Paratha,104,Sunny,None,1,81
02-01-2021,Saturday,Fish Fry,138,Sunny,None,1,81
02-01-2021,Saturday,Dal Tadka,68,Sunny,None,1,81
02-01-2021,Saturday,Chole Bhature,55,Sunny,None,1,81
03-01-2021,Sunday,Chicken Biryani,61,Sunny,None,1,52
03-01-2021,Sunday,Paneer Butter Masala,88,Sunny,None,1,52
03-01-2021,Sunday,Veg Fried Rice,97,Sunny,None,1,52
03-01-2021,Sunday,Mutton Curry,71,Sunny,None,1,52
03-01-2021,Sunday,Dosa,42,Sunny,None,1,52
03-01-2021,Sunday,Idli,64,Sunny,None,1,52
03-01-2021,Sunday,Paratha,34,Sunny,None,1,52
03-01-2021,Sunday,Fish Fry,43,Sunny,None,1,52
03-01-2021,Sunday,Dal Tadka,56,Sunny,None,1,52
03-01-2021,Sunday,Chole Bhature,34,Sunny,None,1,52
04-01-2021,Monday,Chicken Biryani,72,Cloudy,None,0,74
04-01-2021,Monday,Paneer Butter Masala,71,Cloudy,None,0,74
04-01-2021,Monday,Veg Fried Rice,68,Cloudy,None,0,74
04-01-2021,Monday,Mutton Curry,92,Cloudy,None,0,74
04-01-2021,Monday,Dosa,58,Cloudy,None,0,74
04-01-2021,Monday,Idli,45,Cloudy,None,0,74
04-01-2021,Monday,Paratha,88,Cloudy,None,0,74
04-01-2021,Monday,Fish Fry,95,Cloudy,None,0,74
04-01-2021,Monday,Dal Tadka,31,Cloudy,None,0,74
04-01-2021,Monday,Chole Bhature,94,Cloudy,None,0,74
05-01-2021,Tuesday,Chicken Biryani,84,Sunny,None,0,62
05-01-2021,Tuesday,Paneer Butter Masala,51,Sunny,None,0,62
05-01-2021,Tuesday,Veg Fried Rice,52,Sunny,None,0,62
05-01-2021,Tuesday,Mutton Curry,47,Sunny,None,0,62
05-01-2021,Tuesday,Dosa,79,Sunny,None,0,62
05-01-2021,Tuesday,Idli,60,Sunny,None,0,62
